state_code,county
AL,JEFFERSON
AL,MOBILE
AR,PULASKI
AR,WASHINGTON
CO,DENVER
CO,JEFFERSON
CO,ARAPAHOE
GA,FULTON
GA,DEKALB
MA,MIDDLESEX
MA,ESSEX
MA,WORCESTER
MN,HENNEPIN
MN,RAMSEY
MN,DAKOTA
OK,OKLAHOMA
OK,TULSA
OK,CLEVELAND
TN,SHELBY
TN,DAVIDSON
TX,HARRIS
TX,DALLAS
VA,FAIRFAX
VA,PRINCE WILLIAM
